step,time_s,command_x,base_vel_x,base_vel_y,base_vel_yaw,base_height,base_pos_x,base_pos_y,base_yaw,foot_z_l,foot_z_r,foot_force_l,foot_force_r,foot_yaw_l,foot_yaw_r,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,dof_torque_0,dof_torque_1,dof_torque_2,dof_torque_3,dof_torque_4,dof_torque_5,dof_torque_6,dof_torque_7,dof_torque_8,dof_torque_9,dof_torque_10,dof_torque_11
0,0.0,0.20000000298023224,0.006638146936893463,-0.018365925177931786,-0.1253000944852829,0.6980104446411133,0.00010739685967564583,-0.0006256923079490662,-0.0011976755922660232,0.12683068215847015,0.12665757536888123,0.0,0.0,0.09266829490661621,0.017270803451538086,0.4272167384624481,0.0537816621363163,-0.22529861330986023,0.44507110118865967,-0.22289925813674927,0.010644396767020226,-0.31788912415504456,-0.009995141997933388,0.307510107755661,0.44089215993881226,-0.19334040582180023,-0.06924863904714584,-0.4560585021972656,-1.597585678100586,-0.43081188201904297,-2.1142985820770264,-3.672351121902466,0.3764496445655823,0.1492220163345337,-0.9877780675888062,-0.17980338633060455,0.20427440106868744,3.5297117233276367,-3.070162773132324,3.877742290496826,-29.23512077331543,-5.281813144683838,-20.99054718017578,-2.0273876190185547,0.9433912038803101,0.3944116532802582,-4.589671611785889,-1.882485270500183,1.186875343322754,1.8241031169891357,-1.7451578378677368
1,0.01,0.20000000298023224,0.005406578071415424,-0.004564722068607807,-0.08488264679908752,0.695585310459137,0.00014718947932124138,-0.001308659091591835,-0.00207569170743227,0.12320466339588165,0.12405434250831604,0.0,0.0,0.12301349639892578,0.07827425003051758,0.4242212474346161,0.0421731062233448,-0.22812843322753906,0.4291433095932007,-0.2415042221546173,0.0019328417256474495,-0.3169998228549957,-0.014336219988763332,0.2999095618724823,0.4344758689403534,-0.1264837086200714,-0.07596362382173538,-0.23230445384979248,-0.8111445307731628,-0.15514257550239563,-1.2857710123062134,-1.2636432647705078,-0.5511436462402344,-0.15226402878761292,-0.15088528394699097,-0.7166423797607422,-0.5823334455490112,4.987981796264648,-0.3317738175392151,-2.638869047164917,9.317496299743652,2.06319522857666,-9.14516830444336,-0.38894665241241455,-0.6941947937011719,-3.2612013816833496,5.39321231842041,-0.4765890836715698,-8.502076148986816,2.433579921722412,-0.46055567264556885
2,0.02,0.20000000298023224,0.002214648760855198,0.006935504265129566,-0.06852526217699051,0.6921228766441345,1.8178019672632217e-05,-0.0013186805881559849,-0.002818704815581441,0.11953770369291306,0.12008321285247803,0.0,0.0,0.12426996231079102,0.11891841888427734,0.4242526590824127,0.03948306292295456,-0.22987107932567596,0.4256008565425873,-0.2387673556804657,-0.01654251292347908,-0.3198733627796173,-0.01293631736189127,0.29953280091285706,0.4260839521884918,-0.07505697011947632,-0.1053021103143692,-0.10267402231693268,0.14511540532112122,-0.07204098254442215,-0.07625263184309006,0.32258957624435425,-1.3255894184112549,-0.4116130769252777,0.45852288603782654,0.22470659017562866,-0.7774730324745178,3.6302881240844727,-1.99344003200531,-3.2210235595703125,12.726397514343262,0.7842236161231995,1.5666654109954834,0.37936413288116455,-1.1896733045578003,-1.8081144094467163,7.741579055786133,1.762001872062683,-8.566457748413086,1.8426756858825684,-1.5096715688705444
3,0.03,0.20000000298023224,0.0004579767701216042,0.016892557963728905,-0.04463581740856171,0.687623918056488,-0.00018872041255235672,-0.0006277916836552322,-0.0032836187165230513,0.11589083820581436,0.1148785650730133,0.0,0.0,0.14150166511535645,0.11204051971435547,0.42659568786621094,0.04544713720679283,-0.2338033765554428,0.4374416768550873,-0.26357150077819824,-0.04278790205717087,-0.3248729109764099,-0.004876001738011837,0.3076190650463104,0.4172343313694,-0.06577035784721375,-0.18336255848407745,0.034130554646253586,0.8978341817855835,-0.16195900738239288,1.1805782318115234,-1.5319525003433228,-1.727350115776062,-0.5905787348747253,1.2495590448379517,1.1829420328140259,-0.9074808955192566,0.20832744240760803,-5.218777179718018,-1.636779546737671,7.329065322875977,0.5529899597167969,12.576193809509277,-0.7153659462928772,-1.310027837753296,-1.4886845350265503,17.47679901123047,4.554199695587158,-7.834883213043213,0.1599442958831787,-3.6540021896362305
4,0.04,0.20000000298023224,-0.005055481102317572,0.0243128202855587,0.027097268030047417,0.6820628643035889,-0.0004718117415904999,0.0006928173243068159,-0.0030466688331216574,0.11251090466976166,0.10849237442016602,0.0,0.0,0.14509987831115723,0.10346126556396484,0.43459194898605347,0.05833980068564415,-0.24046628177165985,0.4680766463279724,-0.2889111638069153,-0.061342839151620865,-0.33234333992004395,0.012080014683306217,0.31912970542907715,0.4067779779434204,-0.055465277284383774,-0.26102757453918457,0.5826387405395508,1.4320815801620483,-0.3071056604385376,2.9778084754943848,-1.081575632095337,-1.2238136529922485,-0.7998489737510681,2.121781349182129,1.3012728691101074,-0.9728856682777405,0.6199589967727661,-5.121654510498047,0.41434794664382935,2.515714645385742,-0.8237898945808411,28.148597717285156,-0.6048466563224792,-0.8511123657226562,-0.6078932285308838,20.503395080566406,4.626832962036133,-6.7369585037231445,0.5190808773040771,-3.555398464202881
5,0.05,0.20000000298023224,-0.006541395094245672,0.025080481544137,0.11535809189081192,0.6754685640335083,-0.0006866552866995335,0.002419117372483015,-0.0020200530998408794,0.10887403786182404,0.10127733647823334,0.0,0.0,0.137068510055542,0.09140324592590332,0.444035142660141,0.07389417290687561,-0.2448797971010208,0.5051316618919373,-0.3083189129829407,-0.0580679252743721,-0.3406805694103241,0.03728795796632767,0.32111960649490356,0.39796027541160583,-0.05253224074840546,-0.3528617024421692,0.8010679483413696,1.5128016471862793,-0.2189314365386963,3.357037305831909,-0.8736912608146667,0.13988053798675537,-0.8668573498725891,2.814314842224121,0.27303242683410645,-0.7436739206314087,0.09261567145586014,-5.934264183044434,5.6079254150390625,-2.27817440032959,-1.570298671722412,28.217195510864258,-0.7930896878242493,0.18231967091560364,1.0083189010620117,19.295543670654297,1.631726861000061,-3.6162710189819336,0.33041292428970337,-3.9669365882873535
6,0.06,0.20000000298023224,-0.007609062362462282,0.0158611461520195,0.18228746950626373,0.6678391695022583,-0.0009211422875523567,0.00412482675164938,-0.00030947208870202303,0.10476817935705185,0.09353556483983994,0.0,0.0,0.1371290683746338,0.08522963523864746,0.4578597843647003,0.0878811776638031,-0.25128409266471863,0.5472216010093689,-0.3390439450740814,-0.042320072650909424,-0.34946364164352417,0.06536684930324554,0.32572293281555176,0.39193466305732727,-0.04974323883652687,-0.4108774960041046,1.3100847005844116,1.151934027671814,-0.4927365779876709,3.7660579681396484,-1.7925968170166016,1.0718183517456055,-0.7506645917892456,2.858482837677002,0.5531088709831238,-0.5278081893920898,0.15707939863204956,-3.8040318489074707,8.145020484924316,-7.630693435668945,-3.23289155960083,30.898330688476562,-1.3689496517181396,0.9104806184768677,2.159897565841675,13.403619766235352,1.6075612306594849,-1.4271299839019775,0.34287822246551514,-2.4570164680480957
7,0.07,0.20000000298023224,-0.006169965490698814,0.005239415448158979,0.2222292721271515,0.6592199206352234,-0.0010808068327605724,0.005621133837848902,0.0017872423632070422,0.09945888817310333,0.0853341594338417,0.0,0.0,0.13352441787719727,0.08881688117980957,0.472433477640152,0.09778878092765808,-0.2587556540966034,0.5843391418457031,-0.36160120368003845,-0.029232461005449295,-0.3564545512199402,0.0933440625667572,0.33386436104774475,0.3881574273109436,-0.03937828168272972,-0.4480281174182892,1.349613070487976,0.7803500294685364,-0.665197491645813,3.218639612197876,-1.3255001306533813,0.9193434119224548,-0.5398837327957153,2.796447515487671,0.8404176831245422,-0.30130621790885925,0.8513561487197876,-2.4858076572418213,7.779255390167236,-5.682452201843262,-3.316481113433838,25.743440628051758,-1.1181180477142334,0.7579233646392822,2.3837742805480957,9.909770011901855,1.9407199621200562,0.20770975947380066,0.662663459777832,-1.5559695959091187
8,0.08,0.20000000298023224,-0.003003207966685295,-0.004925822373479605,0.24928992986679077,0.649648904800415,-0.0011054701171815395,0.0069449786096811295,0.00412047328427434,0.09233678877353668,0.07671577483415604,0.0,0.0,0.13016510009765625,0.09137582778930664,0.4839381277561188,0.10409662872552872,-0.2667160630226135,0.6092117428779602,-0.375034898519516,-0.022082163020968437,-0.36106401681900024,0.12087736278772354,0.3432353734970093,0.38750624656677246,-0.03388461098074913,-0.4705302119255066,1.060953140258789,0.48559123277664185,-0.7962189316749573,2.037367343902588,-0.9335458278656006,0.5467363595962524,-0.3154001235961914,2.7270054817199707,0.8901301622390747,-0.016422118991613388,0.45359110832214355,-1.5464662313461304,6.738728046417236,-3.410325527191162,-3.1205432415008545,15.157837867736816,-0.8579245209693909,0.4660740792751312,2.0987493991851807,7.11072301864624,1.8293160200119019,2.11492919921875,0.39285141229629517,-0.916175127029419
9,0.09,0.20000000298023224,-0.0017351467395201325,0.030821247026324272,0.2661421000957489,0.6393569111824036,-0.0010352237150073051,0.008150109089910984,0.006699505727738142,0.0834139883518219,0.06798018515110016,0.0,635.0184326171875,0.12717723846435547,0.052052974700927734,0.4910374879837036,0.10729110985994339,-0.27407076954841614,0.620966911315918,-0.3798454999923706,-0.016346629709005356,-0.3629222512245178,0.14304587244987488,0.35225042700767517,0.39719921350479126,-0.09021484851837158,-0.43338876962661743,0.456687331199646,0.1772640347480774,-0.6924012899398804,0.7246277332305908,-0.4788244962692261,0.4318946599960327,-0.10254085063934326,1.6695605516433716,-0.3633301258087158,2.3214640617370605,-17.16490936279297,10.641031265258789,6.469974994659424,0.6000953912734985,-3.227046012878418,11.512630462646484,-0.17874258756637573,0.396718829870224,1.6767855882644653,6.02044153213501,8.758147239685059,-14.834503173828125,13.32598876953125,-8.22137451171875
